contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
AAPL240510C00100000,2024-05-03 18:47:12+00:00,100.0,85.3,82.4,83.0,0.0,0.0,40.0,3,2.722659443359375,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00105000,2024-05-03 13:45:45+00:00,105.0,79.44,77.4,78.05,0.0,0.0,1.0,4,2.560550473632812,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00110000,2024-04-30 14:41:36+00:00,110.0,64.81,72.35,73.05,0.0,0.0,4.0,4,2.3320354199218745,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00120000,2024-05-06 17:19:19+00:00,120.0,61.12,62.35,63.05,0.0,0.0,4.0,10,1.9746095019531251,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00125000,2024-05-02 15:46:06+00:00,125.0,47.0,57.5,58.0,0.0,0.0,,0,1.859375703125,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00130000,2024-05-06 16:02:00+00:00,130.0,52.34,52.45,53.05,0.0,0.0,1.0,3,1.69140779296875,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00135000,2024-05-03 17:46:34+00:00,135.0,50.14,47.5,48.05,0.0,0.0,3.0,6,1.5507834960937497,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00140000,2024-05-07 14:00:06+00:00,140.0,43.73,42.35,43.05,1.7200012,4.0942664,2.0,25,1.3261752441406247,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00143000,2024-05-07 17:07:37+00:00,143.0,39.02,39.5,40.05,-1.3800011,-3.4158442,1.0,49,1.2949254003906248,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00145000,2024-05-06 14:11:15+00:00,145.0,37.63,37.6,38.05,0.0,0.0,1.0,84,1.2675817871093749,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00146000,2024-04-25 19:55:00+00:00,146.0,24.3,36.4,37.1,0.0,0.0,,1,1.18359783203125,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00147000,2024-05-01 18:38:01+00:00,147.0,24.85,35.45,36.15,0.0,0.0,,5,1.1884806201171876,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00148000,2024-05-02 16:08:51+00:00,148.0,24.5,34.4,35.05,0.0,0.0,,1,1.1054732226562503,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00149000,2024-05-03 13:31:18+00:00,149.0,35.5,33.55,34.1,0.0,0.0,1.0,19,1.142582412109375,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00150000,2024-05-07 17:33:14+00:00,150.0,32.75,32.4,33.0,1.1299992,3.5736847,20.0,205,1.0273486132812502,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00152500,2024-05-03 17:53:55+00:00,152.5,32.82,29.95,30.6,0.0,0.0,47.0,127,1.0039112304687499,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00155000,2024-05-07 15:15:12+00:00,155.0,28.1,27.55,28.05,1.8500004,7.0476203,4.0,83,0.9423833886718749,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00157500,2024-05-07 16:33:30+00:00,157.5,24.0,25.25,25.55,-0.6499996,-2.6369154,11.0,318,0.9160164648437501,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00160000,2024-05-07 17:51:18+00:00,160.0,22.44,22.75,22.9,0.84000015,3.8888896,180.0,937,0.8037129003906249,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00162500,2024-05-07 14:49:19+00:00,162.5,20.02,20.0,20.5,0.5100002,2.6140451,10.0,686,0.6914093359375001,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00165000,2024-05-07 17:57:01+00:00,165.0,17.7,17.75,17.9,0.6000004,3.508774,224.0,3438,0.65039412109375,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00167500,2024-05-07 17:28:38+00:00,167.5,15.3,15.25,15.5,0.8000002,5.5172424,38.0,2417,0.5918009570312501,True,REGULAR,USD,Call,2024-05-10
AAPL240510C00170000,2024-05-07 18:00:35+00:00,170.0,12.8,12.8,13.05,0.8500004,7.112974,352.0,11509,0.5288133056640626,True,REGULAR,USD,Call,2024-05-10
