contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
NVDA240510C00260000,2024-05-07 17:43:13+00:00,260.0,652.0,644.7,647.25,-4.0,-0.6097561,4.0,24.0,5.551760872802733,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00280000,2024-05-01 19:26:23+00:00,280.0,573.89,624.6,627.4,0.0,0.0,,1.0,5.249026876220702,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00290000,2024-04-18 17:52:49+00:00,290.0,555.56,614.45,617.2,0.0,0.0,,0.0,5.0146521691894534,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00300000,2024-05-03 18:12:56+00:00,300.0,590.87,604.7,607.15,0.0,0.0,1.0,34.0,4.921878847656249,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00310000,2024-04-04 18:07:13+00:00,310.0,580.68,576.9,579.05,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00320000,2024-05-01 15:58:27+00:00,320.0,496.67,584.75,587.55,0.0,0.0,1.0,1.0,4.746097817382813,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00330000,2024-05-03 17:21:37+00:00,330.0,560.5,574.65,577.45,0.0,0.0,1.0,23.0,4.574223032226563,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00340000,2024-05-03 13:55:34+00:00,340.0,544.49,564.65,567.35,0.0,0.0,1.0,2.0,4.42773884033203,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00350000,2024-05-02 18:07:46+00:00,350.0,504.7,554.95,557.45,0.0,0.0,55.0,57.0,4.3828170214843745,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00360000,2024-05-03 16:49:57+00:00,360.0,526.34,545.0,547.75,0.0,0.0,1.0,1.0,4.323735064086914,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00370000,2024-05-03 15:30:37+00:00,370.0,510.59,534.85,537.45,0.0,0.0,1.0,5.0,4.126957966308594,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00390000,2024-05-02 19:51:50+00:00,390.0,469.3,514.95,517.4,0.0,0.0,1.0,4.0,3.9116213146972663,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00400000,2024-05-07 16:06:27+00:00,400.0,511.5,504.85,507.8,1.5,0.29411766,1.0,35.0,3.852051151123047,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00410000,2024-05-06 18:44:25+00:00,410.0,501.7,495.05,497.75,-7.6999817,-1.5115787,1.0,14.0,3.7685552661132817,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00420000,2024-04-03 16:26:41+00:00,420.0,475.95,464.5,466.55,0.0,0.0,2.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00430000,2024-05-06 15:05:57+00:00,430.0,476.09,474.75,477.45,-6.6700134,-1.3816416,2.0,7.0,3.4716810083007816,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00440000,2024-05-03 19:13:24+00:00,440.0,448.47,464.55,467.4,0.0,0.0,3.0,3.0,3.334962600097656,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00450000,2024-05-07 15:03:56+00:00,450.0,454.66,454.95,457.6,32.869995,7.7929764,3.0,7.0,3.330079799804687,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00460000,2024-05-03 13:32:41+00:00,460.0,418.4,444.9,447.65,0.0,0.0,2.0,14.0,3.2358417541503903,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00470000,2024-05-06 15:46:44+00:00,470.0,449.75,435.0,437.85,0.0,0.0,2.0,2.0,3.182619230957031,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00480000,2024-05-06 14:11:21+00:00,480.0,430.8,424.7,427.5,0.0,0.0,1.0,2.0,3.004885300292969,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00490000,2024-04-30 19:17:34+00:00,490.0,379.25,414.8,417.6,0.0,0.0,2.0,1.0,2.944338576660156,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00500000,2024-05-06 13:50:02+00:00,500.0,410.0,403.05,407.65,0.0,0.0,2.0,11.0,2.593753515625,True,REGULAR,USD,Call,2024-05-10
NVDA240510C00510000,2024-05-06 18:59:23+00:00,510.0,411.5,394.9,397.75,0.0,0.0,2.0,8.0,2.8027373681640624,True,REGULAR,USD,Call,2024-05-10
