contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
QQQ240507C00360000,2024-05-07 14:23:52+00:00,360.0,80.25,80.31,80.45,1.550003,1.9695084,6.0,6.0,1.5820333398437496,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00388000,2024-05-02 17:22:26+00:00,388.0,37.31,52.34,52.48,0.0,0.0,,2.0,1.091801416015625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00390000,2024-05-07 14:14:56+00:00,390.0,50.45,50.29,50.42,4.3899994,9.531045,5.0,7.0,0.9648441015625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00400000,2024-05-07 16:58:11+00:00,400.0,41.29,40.44,40.56,1.0900002,2.7114432,1.0,69.0,0.9414068359375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00404000,2024-04-29 19:06:32+00:00,404.0,26.91,36.42,36.57,0.0,0.0,,11.0,0.8544936425781251,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00405000,2024-05-03 18:18:35+00:00,405.0,31.0,35.46,35.57,0.0,0.0,1.0,1.0,0.8476577734374999,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00406000,2024-04-29 16:48:13+00:00,406.0,27.24,34.42,34.53,0.0,0.0,1.0,1.0,0.79883013671875,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00407000,2024-05-03 14:00:36+00:00,407.0,27.92,33.37,33.5,0.0,0.0,1.0,2.0,0.7460962890625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00408000,2024-05-02 13:39:08+00:00,408.0,16.9,32.42,32.54,0.0,0.0,1.0,4.0,0.7617211328125001,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00409000,2024-05-01 15:51:10+00:00,409.0,14.13,31.34,31.47,0.0,0.0,,1.0,0.6796907031250001,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00410000,2024-05-07 14:22:31+00:00,410.0,30.46,30.36,30.47,3.5699997,13.27631,3.0,19.0,0.6699251757812501,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00411000,2024-05-01 14:03:47+00:00,411.0,12.77,29.29,29.43,0.0,0.0,1.0,54.0,0.5937540625000001,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00412000,2024-05-07 13:59:27+00:00,412.0,28.3,28.38,28.5,2.4399986,9.435416,1.0,94.0,0.65039412109375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00413000,2024-05-07 16:16:57+00:00,413.0,28.74,27.45,27.56,2.8199997,10.879628,1.0,15.0,0.6738313867187502,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00414000,2024-05-07 17:19:12+00:00,414.0,27.37,26.4,26.54,2.3100014,9.217883,13.0,78.0,0.63086306640625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00415000,2024-05-06 19:14:04+00:00,415.0,23.9,25.47,25.6,0.0,0.0,65.0,193.0,0.647464462890625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00416000,2024-05-07 13:35:16+00:00,416.0,25.14,24.37,24.47,2.0599995,8.925474,6.0,53.0,0.5566450585937501,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00417000,2024-05-06 13:58:50+00:00,417.0,20.95,23.44,23.55,0.0,0.0,1.0,141.0,0.5830119824218749,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00418000,2024-05-07 17:04:24+00:00,418.0,23.45,22.36,22.5,2.6100006,12.523995,201.0,327.0,0.523442265625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00419000,2024-05-07 14:05:01+00:00,419.0,21.28,21.31,21.41,2.3700008,12.533056,1.0,317.0,0.49023947265625006,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00420000,2024-05-07 17:52:11+00:00,420.0,20.55,20.42,20.54,0.19999886,0.98279536,15.0,253.0,0.5117236328125,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00421000,2024-05-07 14:31:06+00:00,421.0,19.3,19.42,19.56,2.0199986,11.689806,5.0,452.0,0.5273484765625001,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00422000,2024-05-07 17:01:05+00:00,422.0,19.59,18.38,18.49,2.1399994,12.263606,15.0,904.0,0.47461462890625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00423000,2024-05-07 16:52:34+00:00,423.0,18.29,17.32,17.47,2.2000008,13.673094,68.0,628.0,0.44336494140625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00424000,2024-05-07 17:49:27+00:00,424.0,16.5,16.44,16.54,1.4099998,9.343935,48.0,623.0,0.45215391601562505,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00425000,2024-05-07 16:35:27+00:00,425.0,16.37,15.49,15.62,0.960001,6.2297273,85.0,853.0,0.4580132324218751,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00426000,2024-05-07 16:09:07+00:00,426.0,15.77,14.38,14.51,1.5800009,11.134608,20.0,377.0,0.39551385742187506,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00427000,2024-05-07 17:58:29+00:00,427.0,13.44,13.43,13.54,0.90999985,7.262569,27.0,353.0,0.383795224609375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00428000,2024-05-07 17:30:18+00:00,428.0,13.66,12.31,12.42,1.4300003,11.692562,86.0,640.0,0.313483427734375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00429000,2024-05-07 17:44:39+00:00,429.0,12.3,11.49,11.59,0.9000006,7.8947425,75.0,596.0,0.35352208984374994,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00430000,2024-05-07 17:59:14+00:00,430.0,10.28,10.39,10.5,0.0,0.0,629.0,1239.0,0.3012765185546875,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00431000,2024-05-07 17:49:53+00:00,431.0,9.39,9.3,9.44,0.10000038,1.0764303,182.0,525.0,0.256843369140625,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00432000,2024-05-07 17:49:50+00:00,432.0,8.52,8.46,8.57,0.39000034,4.797052,641.0,883.0,0.274421318359375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00433000,2024-05-07 17:58:21+00:00,433.0,7.51,7.38,7.47,0.34000015,4.7419825,433.0,771.0,0.22217574707031246,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00434000,2024-05-07 17:49:13+00:00,434.0,6.96,6.3,6.4,0.65999985,10.476188,156.0,915.0,0.1757894921875,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00435000,2024-05-07 18:00:01+00:00,435.0,5.29,5.44,5.57,0.03999996,0.76190406,702.0,1680.0,0.1977619287109375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00436000,2024-05-07 18:02:01+00:00,436.0,4.49,4.43,4.52,0.03999996,0.8988756,766.0,1504.0,0.1606529248046875,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00437000,2024-05-07 18:01:33+00:00,437.0,3.55,3.43,3.54,0.089999914,2.7108407,3784.0,3330.0,0.1374597973632813,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00438000,2024-05-07 18:00:54+00:00,438.0,2.51,2.57,2.65,-0.109999895,-4.1984696,4655.0,3668.0,0.125985302734375,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00439000,2024-05-07 18:03:12+00:00,439.0,1.73,1.7,1.77,-0.17999995,-9.729727,11445.0,2856.0,0.10767493896484376,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00440000,2024-05-07 18:02:51+00:00,440.0,0.96,0.93,0.95,-0.37000006,-27.819553,43421.0,7617.0,0.08619077880859377,True,REGULAR,USD,Call,2024-05-07
QQQ240507C00441000,2024-05-07 18:03:04+00:00,441.0,0.41,0.39,0.4,-0.42,-50.60241,115043.0,3339.0,0.07544869873046878,False,REGULAR,USD,Call,2024-05-07
QQQ240507C00442000,2024-05-07 18:03:13+00:00,442.0,0.15,0.14,0.15,-0.32999998,-68.75,133573.0,4098.0,0.07520456054687502,False,REGULAR,USD,Call,2024-05-07
QQQ240507C00443000,2024-05-07 18:03:06+00:00,443.0,0.05,0.04,0.05,-0.21,-84.0,47542.0,2588.0,0.07715766601562501,False,REGULAR,USD,Call,2024-05-07
