contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
SPY250114C00480000,2025-01-13 20:47:57+00:00,480.0,99.96,100.23,102.53,0.0,0.0,4.0,1,1.76171994140625,True,REGULAR,USD,Call,2025-01-14
SPY250114C00545000,2025-01-13 19:52:57+00:00,545.0,34.86,35.3,37.67,0.0,0.0,27.0,11,0.7392604199218749,True,REGULAR,USD,Call,2025-01-14
SPY250114C00550000,2025-01-07 19:47:40+00:00,550.0,40.85,30.36,32.67,0.0,0.0,,2,0.6626010302734376,True,REGULAR,USD,Call,2025-01-14
SPY250114C00555000,2025-01-14 14:43:07+00:00,555.0,29.95,26.01,27.23,4.6400013,18.33268,10.0,10,0.6020547607421877,True,REGULAR,USD,Call,2025-01-14
SPY250114C00560000,2025-01-14 15:54:08+00:00,560.0,22.59,20.06,22.61,2.040001,9.927012,24.0,61,0.6789582885742189,True,REGULAR,USD,Call,2025-01-14
SPY250114C00562000,2025-01-14 14:55:28+00:00,562.0,21.03,18.38,20.18,1.1300011,5.6783977,1.0,13,0.5712933496093751,True,REGULAR,USD,Call,2025-01-14
SPY250114C00564000,2025-01-13 21:12:32+00:00,564.0,17.72,16.17,17.94,0.0,0.0,5.0,8,0.49121602539062503,True,REGULAR,USD,Call,2025-01-14
SPY250114C00565000,2025-01-14 15:12:12+00:00,565.0,19.37,15.96,17.72,2.6000004,15.503878,3.0,97,0.5803264624023439,True,REGULAR,USD,Call,2025-01-14
SPY250114C00566000,2025-01-13 21:08:09+00:00,566.0,16.58,14.91,16.66,0.89000034,5.672405,20.0,383,0.5493209130859377,True,REGULAR,USD,Call,2025-01-14
SPY250114C00567000,2025-01-14 14:31:13+00:00,567.0,16.76,13.54,15.66,2.0200005,13.704209,6.0,60,0.5258836474609375,True,REGULAR,USD,Call,2025-01-14
SPY250114C00568000,2025-01-14 15:56:33+00:00,568.0,14.15,13.14,14.31,1.5,11.857708,309.0,23,0.45825737060546884,True,REGULAR,USD,Call,2025-01-14
SPY250114C00569000,2025-01-14 15:56:33+00:00,569.0,13.15,12.1,13.15,1.7999992,15.859024,315.0,195,0.4145566357421875,True,REGULAR,USD,Call,2025-01-14
SPY250114C00570000,2025-01-14 15:56:49+00:00,570.0,12.07,11.29,13.04,0.84000015,7.479966,320.0,163,0.4963429272460938,True,REGULAR,USD,Call,2025-01-14
SPY250114C00571000,2025-01-14 15:57:13+00:00,571.0,11.2,9.32,11.04,0.43999958,4.0892153,357.0,315,0.35474278076171867,True,REGULAR,USD,Call,2025-01-14
SPY250114C00572000,2025-01-14 16:01:43+00:00,572.0,9.5,8.19,9.87,0.85999966,9.9537,161.0,206,0.30982135498046875,True,REGULAR,USD,Call,2025-01-14
